Name,Address,Category
Pizza Hut (必胜客),"金, 鹰, 店, ,,  , 江, 苏, 省",Pizzeria
星巴克,"项, 王, 东, 路, 8, 号, ,,  , 宿, 迁, 市, ,,  , 江, 苏, ,,  , 2, 2, 3, 8, 0, 0",Coffee Shop
徐州鹏浩宾馆,"睢, 宁, 客, 运, 东, 站, 东, 岛, 路, ,,  , 徐, 州, 市, ,,  , 江, 苏, ,,  , 2, 2, 1, 0, 0, 0",Liquor Store
睢宁鸿图宾馆,"东, 环, 岛, 长, 途, 汽, 车, 站, 对, 面, ,,  , 徐, 州, 市, ,,  , 江, 苏, ,,  , 2, 2, 1, 2, 0, 0",Liquor Store
睢宁新一佳旅社,"睢, 宁, 八, 一, 东, 街, 交, 通, 巷, ,,  , 徐, 州, 市, ,,  , 江, 苏, ,,  , 2, 2, 1, 0, 0, 0",Liquor Store
睢宁金悦宾馆,"睢, 宁, 八, 一, 东, 路, 6, 3, 号, ,,  , 徐, 州, 市, ,,  , 江, 苏, ,,  , 2, 2, 1, 0, 0, 0",Liquor Store
中央步行街,"中, 山, 南, 路",Landmarks and Outdoors
星巴克,"北, 京, 南, 路, 2, 2, 号, ,,  , 宿, 迁, 市, ,,  , 江, 苏, ,,  , 2, 2, 3, 6, 0, 0",Coffee Shop
Starbucks (星巴克),"人, 民, 中, 路, 3, 3, 号,  , (, 沭, 阳, 中, 央, 商, 场, 1, 号, 门, 1, 楼, ), ,,  , 宿, 迁, 市, ,,  , 江, 苏, ,,  , 2, 2, 3, 6, 0, 0",Coffee Shop
H&M,"台, 州, 南, 路, 1, 号, ,,  , 宿, 迁, 市, ,,  , 江, 苏, ,,  , 2, 2, 3, 6, 0, 0",Clothing Store
